Name;Link;Länge
5min-Sonnengrüße;https://www.youtube.com/watch?v=2SyGLbXtS68;6
5min-Morgenyoga im Bett;https://www.youtube.com/watch?v=fWRa-6T0bv0;7
5 min Yoga;https://www.youtube.com/watch?v=w4FCGciGIms;7
Yoga Energy Boost;https://www.youtube.com/watch?v=pQszu5WBNCc;9
10 min Yoga Pause;https://www.youtube.com/watch?v=7Av1kR5TnIA;11
Sonnengruß A;https://www.youtube.com/watch?v=ajPbiwOjrss;11
Yoga zum Schwitzen;https://www.youtube.com/watch?v=5lqHPAXwk4Q;12
Schultern & Nacken Entspannung;https://www.youtube.com/watch?v=6CxOSicx_Wc;12
Morning Stretch;https://www.youtube.com/watch?v=s6Jazu4oXls;12
Sonnengruß B;https://www.youtube.com/watch?v=tV3tCLZtNeg;12
Sonnengruß Yoga Routine;https://www.youtube.com/watch?v=d_Ibq08-ucg;13
Energie & Fokus;https://www.youtube.com/watch?v=3YpRJeAbo7E;14
Yoga Warm Up;https://www.youtube.com/watch?v=KlYaZcLu_l8;15
Yoga Core Balance;https://www.youtube.com/watch?v=EiCgTI0uOPc;15
Einschlafen mit Yoga;https://www.youtube.com/watch?v=fABvf_pqXhc;16
Unbekannt;https://www.youtube.com/watch?v=9mq66ZKmoyc;16
Abendroutine;https://www.youtube.com/watch?v=AtQIr3QX4pY;17
Yoga für den  Bauch;https://www.youtube.com/watch?v=Tj3eHle5xTM;17
Energie & Lebenskraft;https://www.youtube.com/watch?v=kRxclhGDZtQ;17
Power Yoga;https://www.youtube.com/watch?v=JXYXEYuGCYI;18
Vinyasa Yoga;https://www.youtube.com/watch?v=pDcwnOWgO4A;18
After Work Yoga;https://www.youtube.com/watch?v=8dS4DUkLhBU;18
Bali Yoga Morgenroutine;https://www.youtube.com/watch?v=QH8KrTKvv2E;18
15 min Full Body Stretch;https://www.youtube.com/watch?v=qFgwrTc1e1I;18
Yoga Morning Routine;https://www.youtube.com/watch?v=Nm6RlQiwvgc;19
Yoga für den  Bauch;https://www.youtube.com/watch?v=zMQ1EIIz6Rc;19
Detox Yoga Flow;https://www.youtube.com/watch?v=AgkawTO_bBA;19
Sanfter Abend Yoga im Bett;https://www.youtube.com/watch?v=_i32hVOPlTA;19
Yoga & Meditation;https://www.youtube.com/watch?v=1vVwY60_pyk;20
Arme & Schultern Yoga;https://www.youtube.com/watch?v=B3G-Nsuuxws;21
Schultern & Nacken Yoga;https://www.youtube.com/watch?v=Nwg5j55gicl;21
Slow & Flexible;https://www.youtube.com/watch?v=kApPj-mNcO4;21
